* Measurement data saved by REW V5.13 Beta 7
* Source: Microphone (Umik-1  Gain: 18dB  ), MICROPHONE (Master Volume), Left channel, volume: 0.530
* Format:   1M Log Swept Sine, 1 sweep at -23.0 dB FS
* Dated: 12-Sep-2015 19:46:57
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Sep 12 19:46:57
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
200.317 98.649 65.159
200.684 98.984 67.226
201.050 99.421 69.151
201.416 99.940 70.611
201.782 100.502 71.457
202.148 101.068 71.737
202.515 101.620 71.596
202.881 102.158 71.165
203.247 102.690 70.504
203.613 103.226 69.603
203.979 103.769 68.416
204.346 104.318 66.891
204.712 104.866 64.986
205.078 105.408 62.659
205.444 105.934 59.866
205.811 106.429 56.575
206.177 106.875 52.784
206.543 107.248 48.550
206.909 107.529 43.995
207.275 107.706 39.305
207.642 107.779 34.699
208.008 107.767 30.387
208.374 107.700 26.506
208.740 107.620 23.048
209.106 107.561 19.845
209.473 107.530 16.618
209.839 107.508 13.115
210.205 107.454 9.229
210.571 107.325 5.039
210.938 107.095 0.762
211.304 106.758 -3.323
211.670 106.331 -6.968
212.036 105.844 -10.025
212.402 105.332 -12.480
212.769 104.820 -14.422
213.135 104.315 -15.965
213.501 103.814 -17.169
213.867 103.313 -18.007
214.233 102.817 -18.414
214.600 102.343 -18.346
214.966 101.910 -17.814
215.332 101.538 -16.867
215.698 101.244 -15.578
216.064 101.053 -14.064
216.431 100.989 -12.568
216.797 101.056 -11.471
217.163 101.222 -11.182
217.529 101.423 -11.958
217.896 101.582 -13.797
218.262 101.637 -16.476
218.628 101.549 -19.643
218.994 101.303 -22.910
219.360 100.905 -25.904
219.727 100.379 -28.309
220.093 99.761 -29.875
220.459 99.097 -30.439
220.825 98.441 -29.937
221.191 97.849 -28.432
221.558 97.376 -26.140
221.924 97.055 -23.431
222.290 96.894 -20.747
222.656 96.865 -18.468
223.022 96.922 -16.811
223.389 97.021 -15.818
223.755 97.129 -15.422
224.121 97.225 -15.521
